,Open,High,Low,Close,Adj Close,Volume
2021-04-29 15:00:00+02:00,208.0,208.0,208.0,208.0,208.0,0
2021-04-30 09:00:00+02:00,208.0,208.0,208.0,208.0,208.0,0
2021-04-30 10:00:00+02:00,208.0,208.0,208.0,208.0,208.0,100
2021-04-30 14:00:00+02:00,208.0,208.0,208.0,208.0,208.0,186
2021-05-03 09:00:00+02:00,208.0,208.0,208.0,208.0,208.0,250
2021-05-03 12:00:00+02:00,208.0,208.0,208.0,208.0,208.0,800
2021-05-04 09:00:00+02:00,208.0,210.0,208.0,210.0,210.0,211
2021-05-04 10:00:00+02:00,212.0,212.0,212.0,212.0,212.0,94
2021-05-04 12:00:00+02:00,212.0,212.0,212.0,212.0,212.0,2
2021-05-05 15:00:00+02:00,214.0,214.0,214.0,214.0,214.0,50
2021-05-06 14:00:00+02:00,212.0,212.0,212.0,212.0,212.0,0
2021-05-07 09:00:00+02:00,210.0,212.0,210.0,212.0,212.0,22233
2021-05-07 12:00:00+02:00,212.0,212.0,210.0,210.0,210.0,226
2021-05-07 14:00:00+02:00,210.0,210.0,210.0,210.0,210.0,50
2021-05-10 09:00:00+02:00,210.0,210.0,210.0,210.0,210.0,8
2021-05-10 12:00:00+02:00,214.0,214.0,214.0,214.0,214.0,200
2021-05-10 13:00:00+02:00,214.0,214.0,214.0,214.0,214.0,500
2021-05-10 15:00:00+02:00,210.0,210.0,208.0,208.0,208.0,218
2021-05-11 13:00:00+02:00,208.0,208.0,208.0,208.0,208.0,500
2021-05-12 09:00:00+02:00,208.0,210.0,208.0,210.0,210.0,50
2021-05-12 11:00:00+02:00,212.0,212.0,212.0,212.0,212.0,20
2021-05-14 09:00:00+02:00,210.0,210.0,210.0,210.0,210.0,0
2021-05-14 10:00:00+02:00,212.0,212.0,212.0,212.0,212.0,1
2021-05-14 13:00:00+02:00,210.0,210.0,210.0,210.0,210.0,1
2021-05-19 13:00:00+02:00,210.0,210.0,210.0,210.0,210.0,239
2021-05-20 12:00:00+02:00,208.0,210.0,208.0,210.0,210.0,0
2021-05-20 14:00:00+02:00,210.0,210.0,210.0,210.0,210.0,40
2021-05-21 15:00:00+02:00,208.0,208.0,208.0,208.0,208.0,0
2021-05-25 09:00:00+02:00,208.0,210.0,208.0,210.0,210.0,303
2021-05-26 13:00:00+02:00,210.0,210.0,210.0,210.0,210.0,942
2021-05-27 09:00:00+02:00,210.0,210.0,210.0,210.0,210.0,50
2021-05-27 14:00:00+02:00,210.0,210.0,210.0,210.0,210.0,100
2021-05-31 09:00:00+02:00,208.0,208.0,208.0,208.0,208.0,0
2021-06-01 12:00:00+02:00,208.0,208.0,208.0,208.0,208.0,81
2021-06-03 11:00:00+02:00,208.0,208.0,208.0,208.0,208.0,4960
2021-06-04 12:00:00+02:00,206.0,206.0,206.0,206.0,206.0,1
2021-06-07 09:00:00+02:00,208.0,208.0,208.0,208.0,208.0,0
2021-06-08 11:00:00+02:00,210.0,210.0,210.0,210.0,210.0,1246
2021-06-08 12:00:00+02:00,210.0,210.0,210.0,210.0,210.0,338
2021-06-09 09:00:00+02:00,208.0,210.0,208.0,210.0,210.0,2370
2021-06-09 10:00:00+02:00,210.0,210.0,210.0,210.0,210.0,30
2021-06-10 12:00:00+02:00,210.0,210.0,210.0,210.0,210.0,1365
2021-06-11 11:00:00+02:00,210.0,210.0,210.0,210.0,210.0,0
2021-06-11 12:00:00+02:00,210.0,210.0,210.0,210.0,210.0,332
2021-06-15 09:00:00+02:00,208.0,208.0,208.0,208.0,208.0,0
2021-06-15 10:00:00+02:00,206.0,206.0,206.0,206.0,206.0,2
2021-06-15 14:00:00+02:00,208.0,208.0,208.0,208.0,208.0,275
2021-06-16 09:00:00+02:00,208.0,208.0,208.0,208.0,208.0,0
2021-06-17 09:00:00+02:00,208.0,208.0,208.0,208.0,208.0,25
2021-06-17 12:00:00+02:00,208.0,208.0,208.0,208.0,208.0,8
2021-06-18 10:00:00+02:00,206.0,206.0,206.0,206.0,206.0,10
2021-06-18 11:00:00+02:00,206.0,206.0,206.0,206.0,206.0,70
2021-06-18 13:00:00+02:00,206.0,210.0,206.0,210.0,210.0,837
2021-06-21 09:00:00+02:00,214.0,214.0,214.0,214.0,214.0,0
2021-06-21 12:00:00+02:00,210.0,210.0,210.0,210.0,210.0,195
2021-06-22 11:00:00+02:00,210.0,210.0,210.0,210.0,210.0,0
2021-06-22 12:00:00+02:00,210.0,210.0,208.0,208.0,208.0,944
2021-06-24 14:00:00+02:00,210.0,212.0,210.0,212.0,212.0,9
2021-06-25 11:00:00+02:00,212.0,212.0,210.0,212.0,212.0,328
2021-06-28 09:00:00+02:00,212.0,212.0,212.0,212.0,212.0,8
2021-06-29 09:00:00+02:00,212.0,212.0,212.0,212.0,212.0,0
2021-06-29 10:00:00+02:00,210.0,210.0,210.0,210.0,210.0,70
2021-06-29 11:00:00+02:00,210.0,210.0,208.0,208.0,208.0,167
2021-06-30 16:00:00+02:00,210.0,210.0,210.0,210.0,210.0,0
2021-07-01 13:00:00+02:00,212.0,212.0,212.0,212.0,212.0,0
2021-07-01 15:00:00+02:00,212.0,212.0,212.0,212.0,212.0,3
2021-07-07 14:00:00+02:00,210.0,210.0,210.0,210.0,210.0,0
2021-07-08 09:00:00+02:00,210.0,210.0,210.0,210.0,210.0,30
2021-07-08 10:00:00+02:00,210.0,210.0,210.0,210.0,210.0,2375
2021-07-09 10:00:00+02:00,210.0,210.0,210.0,210.0,210.0,0
2021-07-09 11:00:00+02:00,212.0,212.0,212.0,212.0,212.0,25
2021-07-12 10:00:00+02:00,214.0,214.0,214.0,214.0,214.0,0
2021-07-12 14:00:00+02:00,214.0,214.0,214.0,214.0,214.0,50
2021-07-15 09:00:00+02:00,214.0,214.0,214.0,214.0,214.0,60
2021-07-15 15:00:00+02:00,214.0,214.0,214.0,214.0,214.0,47
2021-07-15 16:00:00+02:00,214.0,214.0,214.0,214.0,214.0,40
2021-07-20 09:00:00+02:00,214.0,214.0,214.0,214.0,214.0,5
2021-07-23 14:00:00+02:00,212.0,212.0,212.0,212.0,212.0,0
2021-07-27 13:00:00+02:00,214.0,214.0,214.0,214.0,214.0,35
2021-07-29 13:00:00+02:00,216.0,216.0,216.0,216.0,216.0,0
2021-08-02 09:00:00+02:00,216.0,216.0,216.0,216.0,216.0,248
2021-08-04 09:00:00+02:00,216.0,216.0,216.0,216.0,216.0,7
