,Open,High,Low,Close,Adj Close,Volume
2020-12-01 16:00:00+01:00,63.5,63.5,63.5,63.5,63.5,0
2020-12-02 09:00:00+01:00,64.5,64.5,63.5,64.0,64.0,0
2020-12-02 11:00:00+01:00,64.0,64.0,63.5,63.5,63.5,1075
2020-12-02 12:00:00+01:00,62.5,62.5,62.5,62.5,62.5,100
2020-12-02 14:00:00+01:00,62.0,62.0,62.0,62.0,62.0,100
2020-12-02 15:00:00+01:00,62.5,62.5,62.5,62.5,62.5,1
2020-12-02 16:00:00+01:00,62.0,63.5,62.0,63.5,63.5,750
2020-12-03 09:00:00+01:00,63.0,63.0,61.0,61.5,61.5,0
2020-12-03 10:00:00+01:00,61.5,61.5,61.5,61.5,61.5,75
2020-12-03 11:00:00+01:00,61.0,61.0,60.5,60.5,60.5,1104
2020-12-03 12:00:00+01:00,61.0,61.0,61.0,61.0,61.0,1
2020-12-03 13:00:00+01:00,61.0,62.0,61.0,62.0,62.0,1126
2020-12-03 14:00:00+01:00,60.5,61.5,60.5,61.5,61.5,389
2020-12-03 15:00:00+01:00,61.0,61.0,60.5,60.5,60.5,300
2020-12-03 16:00:00+01:00,61.5,61.5,61.5,61.5,61.5,1
2020-12-04 09:00:00+01:00,61.0,61.0,61.0,61.0,61.0,0
2020-12-04 10:00:00+01:00,60.0,60.0,60.0,60.0,60.0,242
2020-12-04 12:00:00+01:00,59.0,59.0,58.5,59.0,59.0,1650
2020-12-04 13:00:00+01:00,60.0,60.0,60.0,60.0,60.0,3
2020-12-04 14:00:00+01:00,58.5,60.0,58.5,60.0,60.0,71
2020-12-04 15:00:00+01:00,57.0,57.0,57.0,57.0,57.0,0
2020-12-04 16:00:00+01:00,59.0,59.0,57.5,59.0,59.0,6674
2020-12-07 09:00:00+01:00,57.0,59.0,57.0,59.0,59.0,0
2020-12-07 10:00:00+01:00,58.0,59.0,58.0,59.0,59.0,453
2020-12-07 11:00:00+01:00,58.0,59.0,58.0,59.0,59.0,306
2020-12-07 12:00:00+01:00,58.0,59.0,58.0,59.0,59.0,109
2020-12-07 13:00:00+01:00,58.0,58.0,57.5,57.5,57.5,6398
2020-12-07 14:00:00+01:00,59.0,59.0,57.5,57.5,57.5,300
2020-12-07 15:00:00+01:00,58.0,58.0,58.0,58.0,58.0,7
2020-12-07 16:00:00+01:00,57.0,58.5,57.0,58.0,58.0,1329
2020-12-08 09:00:00+01:00,58.0,59.5,58.0,59.5,59.5,0
2020-12-08 11:00:00+01:00,58.0,58.0,57.5,57.5,57.5,1210
