,Open,High,Low,Close,Adj Close,Volume
2020-08-04 10:00:00+02:00,496.0,496.0,496.0,496.0,496.0,0
2020-08-04 12:00:00+02:00,496.0,496.0,496.0,496.0,496.0,1
2020-08-04 14:00:00+02:00,490.0,490.0,490.0,490.0,490.0,38
2020-08-04 16:00:00+02:00,490.0,525.0,490.0,525.0,525.0,48
2020-08-05 11:00:00+02:00,492.0,494.0,492.0,494.0,494.0,0
2020-08-05 13:00:00+02:00,520.0,520.0,520.0,520.0,520.0,4
2020-08-05 14:00:00+02:00,476.0,476.0,476.0,476.0,476.0,4
2020-08-05 15:00:00+02:00,480.0,490.0,480.0,490.0,490.0,201
2020-08-06 10:00:00+02:00,482.0,482.0,482.0,482.0,482.0,0
2020-08-07 12:00:00+02:00,482.0,482.0,482.0,482.0,482.0,7
2020-08-11 09:00:00+02:00,470.0,470.0,470.0,470.0,470.0,0
2020-08-14 13:00:00+02:00,498.0,498.0,496.0,496.0,496.0,28
2020-08-14 16:00:00+02:00,498.0,498.0,498.0,498.0,498.0,12
2020-08-17 09:00:00+02:00,600.0,600.0,600.0,600.0,600.0,45
2020-08-17 11:00:00+02:00,590.0,590.0,590.0,590.0,590.0,11
2020-08-17 14:00:00+02:00,525.0,525.0,472.0,472.0,472.0,18
2020-08-19 12:00:00+02:00,505.0,505.0,505.0,505.0,505.0,0
2020-08-19 13:00:00+02:00,505.0,505.0,496.0,496.0,496.0,194
2020-08-20 13:00:00+02:00,505.0,505.0,505.0,505.0,505.0,0
2020-08-21 11:00:00+02:00,505.0,505.0,505.0,505.0,505.0,0
2020-08-21 13:00:00+02:00,505.0,505.0,505.0,505.0,505.0,23
2020-08-21 14:00:00+02:00,500.0,500.0,500.0,500.0,500.0,3
2020-08-21 16:00:00+02:00,490.0,490.0,490.0,490.0,490.0,20
2020-08-24 14:00:00+02:00,480.0,480.0,480.0,480.0,480.0,0
2020-08-24 15:00:00+02:00,480.0,480.0,480.0,480.0,480.0,4
2020-08-24 16:00:00+02:00,480.0,480.0,460.0,460.0,460.0,220
2020-08-26 15:00:00+02:00,472.0,472.0,470.0,470.0,470.0,17
2020-08-31 09:00:00+02:00,550.0,550.0,472.0,474.0,474.0,19
2020-08-31 10:00:00+02:00,474.0,474.0,474.0,474.0,474.0,12
2020-09-01 09:00:00+02:00,476.0,476.0,476.0,476.0,476.0,0
2020-09-01 10:00:00+02:00,476.0,476.0,476.0,476.0,476.0,6
2020-09-01 11:00:00+02:00,488.0,488.0,488.0,488.0,488.0,8
2020-09-01 12:00:00+02:00,500.0,500.0,500.0,500.0,500.0,2
2020-09-01 15:00:00+02:00,510.0,510.0,510.0,510.0,510.0,2
2020-09-02 09:00:00+02:00,535.0,535.0,530.0,530.0,530.0,112
2020-09-02 10:00:00+02:00,530.0,530.0,530.0,530.0,530.0,6
2020-09-02 12:00:00+02:00,530.0,530.0,530.0,530.0,530.0,100
2020-09-03 09:00:00+02:00,550.0,550.0,550.0,550.0,550.0,0
2020-09-03 10:00:00+02:00,550.0,550.0,476.0,525.0,525.0,10
2020-09-04 09:00:00+02:00,540.0,540.0,486.0,486.0,486.0,1
2020-09-04 13:00:00+02:00,530.0,530.0,530.0,530.0,530.0,2
2020-09-04 14:00:00+02:00,500.0,500.0,500.0,500.0,500.0,94
2020-09-10 09:00:00+02:00,476.0,500.0,474.0,474.0,474.0,27
2020-09-10 13:00:00+02:00,540.0,540.0,540.0,540.0,540.0,20
2020-09-11 11:00:00+02:00,490.0,490.0,490.0,490.0,490.0,0
2020-09-11 14:00:00+02:00,530.0,530.0,530.0,530.0,530.0,2
2020-09-14 11:00:00+02:00,492.0,492.0,492.0,492.0,492.0,0
2020-09-15 13:00:00+02:00,535.0,535.0,535.0,535.0,535.0,1
2020-09-16 09:00:00+02:00,530.0,530.0,530.0,530.0,530.0,0
2020-09-16 12:00:00+02:00,498.0,498.0,498.0,498.0,498.0,1
2020-09-16 16:00:00+02:00,500.0,500.0,500.0,500.0,500.0,1
2020-09-22 12:00:00+02:00,496.0,496.0,496.0,496.0,496.0,0
2020-09-22 13:00:00+02:00,525.0,525.0,525.0,525.0,525.0,1
2020-09-22 15:00:00+02:00,530.0,530.0,530.0,530.0,530.0,11
2020-09-23 09:00:00+02:00,505.0,505.0,505.0,505.0,505.0,14
2020-09-24 11:00:00+02:00,492.0,492.0,492.0,492.0,492.0,0
2020-09-25 09:00:00+02:00,525.0,525.0,525.0,525.0,525.0,2
2020-09-28 12:00:00+02:00,515.0,515.0,515.0,515.0,515.0,0
2020-09-29 09:00:00+02:00,500.0,500.0,500.0,500.0,500.0,2
2020-09-29 10:00:00+02:00,498.0,498.0,498.0,498.0,498.0,4
2020-09-29 12:00:00+02:00,500.0,500.0,500.0,500.0,500.0,2
2020-09-29 15:00:00+02:00,500.0,500.0,500.0,500.0,500.0,4
2020-09-29 16:00:00+02:00,494.0,494.0,494.0,494.0,494.0,32
2020-09-30 09:00:00+02:00,494.0,494.0,494.0,494.0,494.0,0
2020-10-01 09:00:00+02:00,468.0,470.0,468.0,470.0,470.0,1
2020-10-02 09:00:00+02:00,460.0,460.0,460.0,460.0,460.0,0
2020-10-02 12:00:00+02:00,460.0,460.0,460.0,460.0,460.0,5
2020-10-02 14:00:00+02:00,456.0,456.0,456.0,456.0,456.0,1
2020-10-05 12:00:00+02:00,470.0,470.0,470.0,470.0,470.0,11
2020-10-06 11:00:00+02:00,498.0,498.0,498.0,498.0,498.0,1
2020-10-06 13:00:00+02:00,460.0,460.0,460.0,460.0,460.0,2
2020-10-06 14:00:00+02:00,460.0,460.0,460.0,460.0,460.0,2
2020-10-07 09:00:00+02:00,496.0,496.0,496.0,496.0,496.0,102
2020-10-07 14:00:00+02:00,496.0,496.0,496.0,496.0,496.0,246
2020-10-07 16:00:00+02:00,496.0,496.0,496.0,496.0,496.0,42
2020-10-08 16:00:00+02:00,496.0,496.0,496.0,496.0,496.0,0
2020-10-09 09:00:00+02:00,462.0,462.0,456.0,462.0,462.0,138
2020-10-09 12:00:00+02:00,480.0,480.0,480.0,480.0,480.0,2
2020-10-09 13:00:00+02:00,498.0,498.0,498.0,498.0,498.0,88
2020-10-09 14:00:00+02:00,498.0,498.0,498.0,498.0,498.0,20
2020-10-09 16:00:00+02:00,486.0,486.0,486.0,486.0,486.0,22
2020-10-12 09:00:00+02:00,486.0,486.0,486.0,486.0,486.0,0
2020-10-12 14:00:00+02:00,486.0,486.0,486.0,486.0,486.0,23
2020-10-13 09:00:00+02:00,446.0,446.0,446.0,446.0,446.0,0
2020-10-13 10:00:00+02:00,494.0,494.0,494.0,494.0,494.0,1
2020-10-13 14:00:00+02:00,464.0,464.0,464.0,464.0,464.0,3
2020-10-14 09:00:00+02:00,464.0,464.0,464.0,464.0,464.0,0
2020-10-14 10:00:00+02:00,464.0,464.0,464.0,464.0,464.0,48
2020-10-15 11:00:00+02:00,464.0,464.0,464.0,464.0,464.0,18
2020-10-16 09:00:00+02:00,438.0,438.0,438.0,438.0,438.0,0
2020-10-16 10:00:00+02:00,480.0,480.0,480.0,480.0,480.0,1
2020-10-16 13:00:00+02:00,480.0,480.0,480.0,480.0,480.0,2
2020-10-16 14:00:00+02:00,498.0,498.0,480.0,480.0,480.0,22
2020-10-19 09:00:00+02:00,498.0,498.0,450.0,488.0,488.0,5
2020-10-19 11:00:00+02:00,488.0,488.0,488.0,488.0,488.0,22
2020-10-20 09:00:00+02:00,458.0,458.0,458.0,458.0,458.0,24
2020-10-20 11:00:00+02:00,486.0,486.0,486.0,486.0,486.0,10
2020-10-20 12:00:00+02:00,486.0,486.0,486.0,486.0,486.0,16
2020-10-22 11:00:00+02:00,460.0,460.0,460.0,460.0,460.0,22
2020-10-22 14:00:00+02:00,462.0,462.0,462.0,462.0,462.0,89
2020-10-26 12:00:00+01:00,456.0,456.0,456.0,456.0,456.0,0
2020-10-27 09:00:00+01:00,456.0,456.0,456.0,456.0,456.0,2
2020-11-02 09:00:00+01:00,426.0,426.0,426.0,426.0,426.0,0
2020-11-02 15:00:00+01:00,456.0,468.0,426.0,468.0,468.0,142
2020-11-03 09:00:00+01:00,430.0,430.0,430.0,430.0,430.0,1
2020-11-03 11:00:00+01:00,434.0,434.0,434.0,434.0,434.0,0
2020-11-03 15:00:00+01:00,446.0,446.0,446.0,446.0,446.0,109
2020-11-04 09:00:00+01:00,446.0,446.0,446.0,446.0,446.0,75
2020-11-04 12:00:00+01:00,450.0,450.0,450.0,450.0,450.0,200
2020-11-06 14:00:00+01:00,456.0,456.0,456.0,456.0,456.0,0
2020-11-09 09:00:00+01:00,432.0,432.0,432.0,432.0,432.0,1
2020-11-09 10:00:00+01:00,456.0,456.0,456.0,456.0,456.0,5
2020-11-09 16:00:00+01:00,450.0,450.0,450.0,450.0,450.0,5
2020-11-10 15:00:00+01:00,450.0,450.0,450.0,450.0,450.0,1
2020-11-10 16:00:00+01:00,450.0,450.0,450.0,450.0,450.0,3
2020-11-11 14:00:00+01:00,432.0,432.0,432.0,432.0,432.0,0
2020-11-12 09:00:00+01:00,450.0,450.0,450.0,450.0,450.0,145
2020-11-12 13:00:00+01:00,434.0,486.0,434.0,486.0,486.0,90
2020-11-12 14:00:00+01:00,480.0,480.0,480.0,480.0,480.0,29
2020-11-13 11:00:00+01:00,470.0,470.0,470.0,470.0,470.0,0
2020-11-13 14:00:00+01:00,478.0,480.0,478.0,480.0,480.0,50
2020-11-13 16:00:00+01:00,470.0,470.0,468.0,468.0,468.0,19
2020-11-17 09:00:00+01:00,478.0,478.0,478.0,478.0,478.0,21
2020-11-18 12:00:00+01:00,450.0,450.0,450.0,450.0,450.0,8
2020-11-18 13:00:00+01:00,478.0,478.0,478.0,478.0,478.0,1
2020-11-18 14:00:00+01:00,478.0,480.0,478.0,480.0,480.0,0
2020-11-20 09:00:00+01:00,480.0,480.0,480.0,480.0,480.0,3
2020-11-20 11:00:00+01:00,460.0,470.0,460.0,470.0,470.0,2
2020-11-23 09:00:00+01:00,452.0,480.0,450.0,480.0,480.0,64
2020-11-24 09:00:00+01:00,478.0,478.0,478.0,478.0,478.0,2
2020-11-24 11:00:00+01:00,450.0,450.0,450.0,450.0,450.0,1
2020-11-24 15:00:00+01:00,468.0,476.0,468.0,476.0,476.0,27
2020-11-25 13:00:00+01:00,480.0,480.0,480.0,480.0,480.0,0
2020-11-25 16:00:00+01:00,478.0,478.0,478.0,478.0,478.0,1
2020-11-26 09:00:00+01:00,480.0,480.0,480.0,480.0,480.0,0
2020-11-26 11:00:00+01:00,470.0,470.0,470.0,470.0,470.0,1
2020-11-27 10:00:00+01:00,470.0,470.0,470.0,470.0,470.0,0
2020-11-27 13:00:00+01:00,476.0,480.0,476.0,480.0,480.0,20
2020-11-27 15:00:00+01:00,480.0,480.0,480.0,480.0,480.0,15
2020-12-01 15:00:00+01:00,476.0,476.0,476.0,476.0,476.0,7
2020-12-02 16:00:00+01:00,470.0,470.0,470.0,470.0,470.0,0
2020-12-03 09:00:00+01:00,456.0,466.0,456.0,466.0,466.0,44
2020-12-03 15:00:00+01:00,470.0,472.0,470.0,472.0,472.0,104
2020-12-04 11:00:00+01:00,474.0,474.0,450.0,474.0,474.0,474
