,Open,High,Low,Close,Adj Close,Volume
2021-06-01 11:00:00+02:00,177.0,177.5,177.0,177.0,177.0,0
2021-06-01 12:00:00+02:00,177.0,178.5,176.5,177.5,177.5,2455
2021-06-01 13:00:00+02:00,178.5,178.5,177.0,177.0,177.0,3118
2021-06-01 14:00:00+02:00,178.0,178.0,177.0,177.5,177.5,3841
2021-06-01 15:00:00+02:00,177.5,179.0,177.5,179.0,179.0,3684
2021-06-01 16:00:00+02:00,179.0,179.0,178.5,178.5,178.5,347
2021-06-02 09:00:00+02:00,176.5,179.0,176.5,178.5,178.5,1494
2021-06-02 10:00:00+02:00,179.0,180.0,178.5,179.0,179.0,2809
2021-06-02 11:00:00+02:00,179.0,179.0,178.0,178.0,178.0,826
2021-06-02 12:00:00+02:00,178.0,179.0,178.0,179.0,179.0,483
2021-06-02 13:00:00+02:00,178.0,178.5,178.0,178.5,178.5,894
2021-06-02 14:00:00+02:00,178.5,179.0,178.5,178.5,178.5,1394
2021-06-02 15:00:00+02:00,178.5,179.0,178.5,179.0,179.0,1862
2021-06-02 16:00:00+02:00,179.0,179.0,179.0,179.0,179.0,343
2021-06-03 09:00:00+02:00,180.0,180.0,178.5,180.0,180.0,1445
2021-06-03 10:00:00+02:00,178.5,180.0,178.0,178.0,178.0,53085
2021-06-03 11:00:00+02:00,178.5,178.5,178.0,178.5,178.5,467
2021-06-03 12:00:00+02:00,178.5,178.5,177.0,177.0,177.0,2277
2021-06-03 13:00:00+02:00,178.0,178.0,177.0,177.0,177.0,7624
2021-06-03 14:00:00+02:00,177.0,177.0,176.5,177.0,177.0,2873
2021-06-03 15:00:00+02:00,177.0,178.0,177.0,177.0,177.0,2666
2021-06-03 16:00:00+02:00,177.5,179.0,177.5,178.5,178.5,591
2021-06-04 09:00:00+02:00,179.5,179.5,179.0,179.5,179.5,280
2021-06-04 10:00:00+02:00,179.5,180.0,179.0,179.5,179.5,4557
2021-06-04 11:00:00+02:00,179.0,179.0,179.0,179.0,179.0,150
2021-06-04 13:00:00+02:00,179.0,179.0,179.0,179.0,179.0,176
2021-06-04 14:00:00+02:00,178.5,178.5,178.5,178.5,178.5,207
2021-06-04 15:00:00+02:00,178.5,178.5,178.0,178.0,178.0,919
2021-06-04 16:00:00+02:00,178.0,178.0,177.5,178.0,178.0,1306
2021-06-07 09:00:00+02:00,179.5,180.5,179.0,180.0,180.0,5055
2021-06-07 10:00:00+02:00,180.0,180.0,178.5,179.5,179.5,1013
2021-06-07 11:00:00+02:00,179.0,179.5,178.5,179.0,179.0,898
2021-06-07 12:00:00+02:00,179.5,179.5,179.0,179.0,179.0,273
2021-06-07 13:00:00+02:00,179.0,180.0,179.0,179.0,179.0,2512
2021-06-07 14:00:00+02:00,179.0,179.0,179.0,179.0,179.0,1078
2021-06-07 15:00:00+02:00,179.0,179.0,178.5,178.5,178.5,1266
2021-06-07 16:00:00+02:00,179.0,179.0,178.5,178.5,178.5,295
2021-06-08 09:00:00+02:00,180.0,180.0,179.5,179.5,179.5,540
2021-06-08 10:00:00+02:00,180.0,180.0,178.5,178.5,178.5,4641
2021-06-08 11:00:00+02:00,179.5,179.5,178.5,178.5,178.5,1978
2021-06-08 12:00:00+02:00,178.5,178.5,177.0,177.0,177.0,16423
2021-06-08 13:00:00+02:00,177.0,177.5,177.0,177.0,177.0,1517
2021-06-08 14:00:00+02:00,177.5,177.5,177.0,177.5,177.5,707
2021-06-08 15:00:00+02:00,177.0,177.5,177.0,177.0,177.0,3096
2021-06-08 16:00:00+02:00,177.0,177.0,177.0,177.0,177.0,500
2021-06-09 09:00:00+02:00,177.5,178.0,176.5,176.5,176.5,971
2021-06-09 10:00:00+02:00,176.5,177.0,175.5,177.0,177.0,2774
2021-06-09 11:00:00+02:00,177.0,177.0,174.5,175.0,175.0,7683
2021-06-09 12:00:00+02:00,175.0,175.0,175.0,175.0,175.0,150
2021-06-09 13:00:00+02:00,175.0,175.0,174.5,174.5,174.5,1996
2021-06-09 14:00:00+02:00,175.0,176.0,174.5,176.0,176.0,1620
2021-06-09 15:00:00+02:00,175.0,176.0,175.0,176.0,176.0,1495
2021-06-09 16:00:00+02:00,176.0,176.0,176.0,176.0,176.0,566
2021-06-10 09:00:00+02:00,177.0,177.0,175.0,175.0,175.0,364
2021-06-10 10:00:00+02:00,177.0,177.0,173.5,173.5,173.5,2153
2021-06-10 11:00:00+02:00,176.5,176.5,173.5,173.5,173.5,2332
2021-06-10 12:00:00+02:00,173.5,174.5,173.5,174.0,174.0,2750
2021-06-10 13:00:00+02:00,174.5,175.0,173.5,173.5,173.5,10940
2021-06-10 14:00:00+02:00,174.0,174.0,173.0,173.5,173.5,10841
2021-06-10 15:00:00+02:00,173.0,174.0,173.0,173.5,173.5,6340
2021-06-10 16:00:00+02:00,174.5,174.5,173.5,173.5,173.5,573
2021-06-11 09:00:00+02:00,174.0,174.5,173.5,174.5,174.5,1269
2021-06-11 10:00:00+02:00,173.5,177.5,173.5,176.5,176.5,6296
2021-06-11 11:00:00+02:00,175.5,177.5,175.5,175.5,175.5,1081
2021-06-11 12:00:00+02:00,176.0,177.5,175.5,177.0,177.0,2527
2021-06-11 13:00:00+02:00,176.5,177.5,176.5,177.0,177.0,567
2021-06-11 14:00:00+02:00,177.5,177.5,177.0,177.5,177.5,11412
2021-06-11 15:00:00+02:00,177.5,177.5,177.0,177.0,177.0,4902
2021-06-11 16:00:00+02:00,177.0,177.0,176.5,176.5,176.5,689
2021-06-14 09:00:00+02:00,175.5,178.0,175.5,178.0,178.0,2670
2021-06-14 10:00:00+02:00,178.0,178.0,177.5,178.0,178.0,574
2021-06-14 11:00:00+02:00,178.0,178.0,176.5,177.5,177.5,6524
2021-06-14 12:00:00+02:00,176.5,177.5,176.5,177.0,177.0,766
2021-06-14 13:00:00+02:00,177.0,177.0,176.5,176.5,176.5,2245
2021-06-14 14:00:00+02:00,176.5,176.5,175.0,175.5,175.5,2789
2021-06-14 15:00:00+02:00,175.5,176.0,175.5,175.5,175.5,994
2021-06-14 16:00:00+02:00,175.5,176.0,175.5,176.0,176.0,542
2021-06-15 09:00:00+02:00,174.0,176.0,174.0,176.0,176.0,898
2021-06-15 10:00:00+02:00,176.0,176.5,176.0,176.0,176.0,3526
2021-06-15 11:00:00+02:00,176.0,177.0,175.5,176.5,176.5,8048
2021-06-15 12:00:00+02:00,177.5,177.5,177.0,177.0,177.0,1122
2021-06-15 14:00:00+02:00,177.0,178.5,177.0,178.5,178.5,3486
2021-06-15 15:00:00+02:00,178.0,179.0,178.0,179.0,179.0,1551
2021-06-15 16:00:00+02:00,179.0,179.5,179.0,179.5,179.5,3540
2021-06-16 09:00:00+02:00,179.0,179.0,177.0,177.0,177.0,769
2021-06-16 10:00:00+02:00,177.5,178.0,176.0,177.0,177.0,8647
2021-06-16 11:00:00+02:00,176.5,178.0,176.0,177.0,177.0,7552
2021-06-16 12:00:00+02:00,177.0,177.0,177.0,177.0,177.0,219
2021-06-16 13:00:00+02:00,176.5,177.0,176.5,176.5,176.5,6742
2021-06-16 14:00:00+02:00,176.5,176.5,176.5,176.5,176.5,6252
2021-06-16 15:00:00+02:00,176.5,179.0,176.5,176.5,176.5,11743
2021-06-16 16:00:00+02:00,176.5,176.5,176.0,176.5,176.5,630
2021-06-17 09:00:00+02:00,177.5,177.5,175.5,175.5,175.5,358
2021-06-17 10:00:00+02:00,175.5,176.5,175.5,175.5,175.5,549
2021-06-17 11:00:00+02:00,175.5,176.5,175.0,175.0,175.0,3284
2021-06-17 12:00:00+02:00,176.0,176.0,173.0,173.5,173.5,2637
2021-06-17 13:00:00+02:00,174.5,174.5,173.0,174.5,174.5,2687
2021-06-17 14:00:00+02:00,173.5,174.5,173.5,174.0,174.0,1030
2021-06-17 16:00:00+02:00,174.5,174.5,174.0,174.5,174.5,376
2021-06-18 09:00:00+02:00,173.0,175.0,173.0,175.0,175.0,924
2021-06-18 11:00:00+02:00,175.0,175.5,175.0,175.0,175.0,2798
2021-06-18 12:00:00+02:00,175.0,175.5,175.0,175.5,175.5,274
2021-06-18 13:00:00+02:00,175.5,175.5,175.5,175.5,175.5,228
2021-06-18 14:00:00+02:00,175.5,175.5,174.5,174.5,174.5,2832
2021-06-18 15:00:00+02:00,175.0,175.0,173.5,173.5,173.5,510
2021-06-21 09:00:00+02:00,173.0,173.0,168.0,172.0,172.0,2860
2021-06-21 10:00:00+02:00,172.0,172.0,172.0,172.0,172.0,19
2021-06-21 11:00:00+02:00,172.0,173.5,171.5,171.5,171.5,3178
2021-06-21 12:00:00+02:00,172.5,172.5,171.5,171.5,171.5,719
2021-06-21 13:00:00+02:00,171.5,172.0,171.0,171.0,171.0,452
2021-06-21 14:00:00+02:00,171.0,171.5,170.0,171.5,171.5,2400
2021-06-21 15:00:00+02:00,171.0,171.5,170.0,171.0,171.0,2119
2021-06-21 16:00:00+02:00,171.0,175.0,170.5,175.0,175.0,577
2021-06-22 09:00:00+02:00,171.0,173.0,171.0,171.0,171.0,931
2021-06-22 10:00:00+02:00,173.0,173.0,171.0,171.0,171.0,3022
2021-06-22 11:00:00+02:00,171.0,171.5,171.0,171.5,171.5,330
2021-06-22 13:00:00+02:00,171.5,171.5,171.0,171.0,171.0,1524
2021-06-22 14:00:00+02:00,171.5,172.0,171.0,171.5,171.5,13325
2021-06-22 15:00:00+02:00,171.0,172.5,170.5,172.5,172.5,3425
2021-06-23 09:00:00+02:00,172.0,175.0,172.0,175.0,175.0,3296
2021-06-23 10:00:00+02:00,173.5,175.0,172.5,174.0,174.0,4440
2021-06-23 11:00:00+02:00,174.5,174.5,174.0,174.0,174.0,1584
2021-06-23 12:00:00+02:00,174.0,174.0,173.5,174.0,174.0,811
2021-06-23 13:00:00+02:00,174.0,174.0,174.0,174.0,174.0,6
2021-06-23 14:00:00+02:00,174.0,174.0,173.0,173.0,173.0,3001
2021-06-23 15:00:00+02:00,173.5,173.5,169.0,170.0,170.0,7183
