Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04,100.0,100.0,100.0,100.0,91.8650131225586,300
2020-08-05,101.0,101.0,101.0,101.0,92.7836685180664,200
2020-08-06,100.0,101.0,100.0,101.0,92.7836685180664,158
2020-08-07,101.0,101.0,100.0,100.0,91.8650131225586,23
2020-08-10,100.0,101.0,100.0,101.0,92.7836685180664,3287
2020-08-11,101.0,102.0,101.0,101.0,92.7836685180664,910
2020-08-12,102.0,102.0,101.0,102.0,93.70230865478516,613
2020-08-13,102.0,102.0,101.0,101.0,92.7836685180664,925
2020-08-14,102.0,102.0,102.0,102.0,93.70230865478516,1890
2020-08-17,102.0,102.0,102.0,102.0,93.70230865478516,56
2020-08-18,101.0,101.0,100.0,100.0,91.8650131225586,87531
2020-08-19,100.0,102.0,100.0,101.0,92.7836685180664,24507
2020-08-20,101.0,101.0,101.0,101.0,92.7836685180664,200
2020-08-21,101.0,101.0,101.0,101.0,92.7836685180664,3963
2020-08-24,101.0,101.0,100.0,101.0,92.7836685180664,4600
2020-08-25,101.0,101.0,101.0,101.0,92.7836685180664,5904
2020-08-26,101.0,101.0,100.0,100.0,91.8650131225586,5500
2020-08-27,101.0,101.0,101.0,101.0,92.7836685180664,123
2020-08-28,101.0,101.0,100.0,100.0,91.8650131225586,385
2020-08-31,101.0,101.0,100.0,101.0,92.7836685180664,3273
2020-09-01,102.0,102.0,100.0,101.0,92.7836685180664,258
2020-09-02,102.0,102.0,101.0,101.0,92.7836685180664,1103
2020-09-03,101.0,102.0,100.0,101.0,92.7836685180664,1541
2020-09-04,101.0,101.0,100.0,101.0,92.7836685180664,2886
2020-09-07,101.0,101.0,101.0,101.0,92.7836685180664,60
2020-09-08,101.0,101.0,101.0,101.0,92.7836685180664,3949
2020-09-09,101.0,101.0,101.0,101.0,92.7836685180664,1547
2020-09-10,102.0,102.0,102.0,102.0,93.70230865478516,256
2020-09-11,102.0,102.0,101.0,102.0,93.70230865478516,5527
2020-09-14,102.0,102.0,101.0,102.0,93.70230865478516,7711
2020-09-15,102.0,102.0,102.0,102.0,93.70230865478516,381
2020-09-16,102.0,102.0,101.0,101.0,92.7836685180664,631
2020-09-17,101.0,102.0,101.0,102.0,93.70230865478516,683
2020-09-18,102.0,102.0,101.0,102.0,93.70230865478516,1806
2020-09-21,102.0,102.0,101.0,102.0,93.70230865478516,1409
2020-09-22,102.0,103.0,102.0,103.0,94.62096405029297,3740
2020-09-23,102.0,102.0,101.0,101.0,92.7836685180664,15500
2020-09-24,102.0,102.0,102.0,102.0,93.70230865478516,118
2020-09-25,102.0,102.0,101.0,102.0,93.70230865478516,2442
2020-09-28,102.0,102.0,101.0,101.0,92.7836685180664,5173
2020-09-29,101.0,102.0,101.0,102.0,93.70230865478516,10586
2020-09-30,100.0,101.0,99.5,99.5,93.3504867553711,127032
2020-10-01,101.0,101.0,99.5,100.0,93.81959533691406,481
2020-10-02,101.0,101.0,99.5,99.5,93.3504867553711,12180
2020-10-05,100.0,100.0,99.0,99.5,93.3504867553711,8240
2020-10-06,99.5,100.0,99.0,99.5,93.3504867553711,17489
2020-10-07,99.5,100.0,99.5,99.5,93.3504867553711,1914
2020-10-08,99.0,99.5,99.0,99.5,93.3504867553711,7475
2020-10-09,99.5,99.5,99.0,99.5,93.3504867553711,30151
2020-10-12,99.5,99.5,99.0,99.0,92.88139343261719,21734
2020-10-13,99.0,99.5,98.5,99.0,92.88139343261719,13434
2020-10-14,99.5,99.5,98.5,99.0,92.88139343261719,6111
2020-10-15,99.5,99.5,99.0,99.0,92.88139343261719,10415
2020-10-16,99.5,99.5,98.5,98.5,92.41229248046875,1558
2020-10-19,99.0,99.5,99.0,99.5,93.3504867553711,616
2020-10-20,99.5,99.5,99.0,99.0,92.88139343261719,4172
2020-10-21,99.5,99.5,99.0,99.0,92.88139343261719,2483
2020-10-22,99.0,99.0,99.0,99.0,92.88139343261719,306
2020-10-23,99.0,99.5,99.0,99.0,92.88139343261719,824
2020-10-26,99.0,99.0,99.0,99.0,92.88139343261719,2180
2020-10-27,99.0,99.0,98.5,98.5,92.41229248046875,5328
2020-10-28,98.5,99.0,98.5,98.5,92.41229248046875,12690
2020-10-29,98.5,99.0,98.5,99.0,92.88139343261719,432
2020-10-30,99.0,99.0,99.0,99.0,92.88139343261719,1241
2020-11-02,99.0,99.0,99.0,99.0,92.88139343261719,619
2020-11-03,98.5,99.0,98.5,99.0,92.88139343261719,4524
2020-11-04,99.0,99.0,99.0,99.0,92.88139343261719,592
2020-11-05,99.0,99.5,99.0,99.5,93.3504867553711,3282
2020-11-06,99.5,99.5,99.0,99.0,92.88139343261719,15170
2020-11-09,100.0,100.0,99.0,99.5,93.3504867553711,1752
2020-11-10,100.0,100.0,99.5,99.5,93.3504867553711,7678
2020-11-11,100.0,100.0,100.0,100.0,93.81959533691406,4561
2020-11-12,100.0,100.0,99.5,100.0,93.81959533691406,925
2020-11-13,100.0,101.0,100.0,100.0,93.81959533691406,4642
2020-11-16,100.0,101.0,100.0,101.0,94.75778198242188,10732
2020-11-17,101.0,101.0,100.0,100.0,93.81959533691406,297
2020-11-18,100.0,101.0,100.0,100.0,93.81959533691406,557
2020-11-19,100.0,101.0,100.0,101.0,94.75778198242188,176
2020-11-20,101.0,102.0,101.0,101.0,94.75778198242188,11188
2020-11-23,101.0,102.0,101.0,102.0,95.69597625732422,67
2020-11-24,101.0,102.0,101.0,101.0,94.75778198242188,10844
