,Open,High,Low,Close,Adj Close,Volume
2021-04-30 09:00:00+02:00,160.0,160.0,160.0,160.0,160.0,0
2021-04-30 14:00:00+02:00,160.0,160.0,160.0,160.0,160.0,290
2021-04-30 16:00:00+02:00,160.0,163.0,160.0,163.0,163.0,1055
2021-05-03 09:00:00+02:00,163.0,163.0,163.0,163.0,163.0,0
2021-05-04 10:00:00+02:00,160.0,160.0,160.0,160.0,160.0,0
2021-05-04 14:00:00+02:00,160.0,160.0,158.0,158.0,158.0,354
2021-05-04 15:00:00+02:00,162.0,163.0,162.0,163.0,163.0,445
2021-05-05 11:00:00+02:00,160.0,160.0,160.0,160.0,160.0,0
2021-05-05 13:00:00+02:00,158.0,158.0,158.0,158.0,158.0,30
2021-05-05 14:00:00+02:00,160.0,160.0,160.0,160.0,160.0,231
2021-05-06 10:00:00+02:00,158.0,158.0,158.0,158.0,158.0,0
2021-05-06 12:00:00+02:00,158.0,158.0,158.0,158.0,158.0,10
2021-05-06 14:00:00+02:00,158.0,158.0,158.0,158.0,158.0,26
2021-05-07 09:00:00+02:00,159.0,159.0,159.0,159.0,159.0,4
2021-05-07 12:00:00+02:00,160.0,160.0,159.0,159.0,159.0,694
2021-05-07 15:00:00+02:00,159.0,162.0,159.0,162.0,162.0,559
2021-05-10 09:00:00+02:00,158.0,158.0,158.0,158.0,158.0,0
2021-05-10 14:00:00+02:00,160.0,161.0,160.0,161.0,161.0,410
2021-05-10 16:00:00+02:00,161.0,161.0,161.0,161.0,161.0,65
2021-05-11 09:00:00+02:00,159.0,159.0,159.0,159.0,159.0,9
2021-05-11 10:00:00+02:00,161.0,161.0,161.0,161.0,161.0,4
2021-05-11 13:00:00+02:00,160.0,160.0,160.0,160.0,160.0,186
2021-05-11 14:00:00+02:00,160.0,160.0,156.0,157.0,157.0,616
2021-05-11 16:00:00+02:00,160.0,161.0,160.0,161.0,161.0,4000
2021-05-12 13:00:00+02:00,160.0,160.0,160.0,160.0,160.0,0
2021-05-12 14:00:00+02:00,159.0,159.0,159.0,159.0,159.0,10
2021-05-12 16:00:00+02:00,158.0,158.0,158.0,158.0,158.0,25
2021-05-14 10:00:00+02:00,160.0,160.0,160.0,160.0,160.0,0
2021-05-14 11:00:00+02:00,161.0,161.0,160.0,161.0,161.0,440
2021-05-14 15:00:00+02:00,161.0,161.0,161.0,161.0,161.0,33
2021-05-18 09:00:00+02:00,160.0,160.0,160.0,160.0,160.0,400
2021-05-18 15:00:00+02:00,162.0,162.0,158.0,158.0,158.0,402
2021-05-18 16:00:00+02:00,160.0,162.0,160.0,162.0,162.0,1000
2021-05-19 14:00:00+02:00,160.0,160.0,160.0,160.0,160.0,549
2021-05-19 15:00:00+02:00,160.0,160.0,160.0,160.0,160.0,41
2021-05-20 11:00:00+02:00,159.0,159.0,159.0,159.0,159.0,0
2021-05-20 14:00:00+02:00,160.0,160.0,159.0,160.0,160.0,205
2021-05-21 11:00:00+02:00,159.0,159.0,159.0,159.0,159.0,0
2021-05-21 13:00:00+02:00,159.0,161.0,159.0,161.0,161.0,1256
2021-05-25 09:00:00+02:00,162.0,162.0,162.0,162.0,162.0,0
2021-05-25 12:00:00+02:00,162.0,162.0,162.0,162.0,162.0,36
2021-05-25 13:00:00+02:00,159.0,159.0,159.0,159.0,159.0,63
2021-05-25 14:00:00+02:00,160.0,160.0,160.0,160.0,160.0,500
2021-05-26 15:00:00+02:00,162.0,162.0,162.0,162.0,162.0,0
2021-05-27 14:00:00+02:00,161.0,161.0,160.0,160.0,160.0,750
2021-05-27 15:00:00+02:00,160.0,160.0,160.0,160.0,160.0,200
2021-05-28 09:00:00+02:00,162.0,162.0,162.0,162.0,162.0,0
2021-05-28 10:00:00+02:00,162.0,162.0,162.0,162.0,162.0,50
2021-05-28 12:00:00+02:00,161.0,161.0,160.0,160.0,160.0,85
2021-05-28 15:00:00+02:00,162.0,163.0,162.0,163.0,163.0,744
2021-05-31 09:00:00+02:00,161.0,162.0,161.0,162.0,162.0,5
2021-05-31 10:00:00+02:00,160.0,160.0,160.0,160.0,160.0,162
2021-05-31 11:00:00+02:00,159.0,160.0,159.0,160.0,160.0,360
2021-05-31 12:00:00+02:00,160.0,162.0,160.0,162.0,162.0,2304
2021-05-31 13:00:00+02:00,160.0,162.0,160.0,162.0,162.0,2324
2021-05-31 15:00:00+02:00,163.0,163.0,162.0,162.0,162.0,704
2021-06-01 09:00:00+02:00,162.0,162.0,162.0,162.0,162.0,0
2021-06-01 13:00:00+02:00,160.0,160.0,160.0,160.0,160.0,50
2021-06-01 14:00:00+02:00,159.0,159.0,159.0,159.0,159.0,12
2021-06-01 15:00:00+02:00,159.0,161.0,159.0,161.0,161.0,197
2021-06-02 12:00:00+02:00,161.0,161.0,161.0,161.0,161.0,0
2021-06-02 13:00:00+02:00,161.0,162.0,161.0,162.0,162.0,1000
2021-06-02 15:00:00+02:00,160.0,160.0,159.0,160.0,160.0,72
2021-06-02 16:00:00+02:00,160.0,160.0,160.0,160.0,160.0,52
2021-06-03 12:00:00+02:00,161.0,162.0,161.0,162.0,162.0,0
2021-06-03 13:00:00+02:00,162.0,162.0,162.0,162.0,162.0,1237
2021-06-04 09:00:00+02:00,162.0,162.0,162.0,162.0,162.0,0
2021-06-04 10:00:00+02:00,163.0,164.0,163.0,164.0,164.0,2507
2021-06-04 11:00:00+02:00,164.0,164.0,164.0,164.0,164.0,10
2021-06-07 14:00:00+02:00,166.0,166.0,166.0,166.0,166.0,0
2021-06-07 15:00:00+02:00,168.0,168.0,168.0,168.0,168.0,106
2021-06-08 09:00:00+02:00,170.0,171.0,170.0,170.0,170.0,77
2021-06-08 10:00:00+02:00,168.0,168.0,168.0,168.0,168.0,24
2021-06-08 11:00:00+02:00,168.0,168.0,168.0,168.0,168.0,20
2021-06-08 12:00:00+02:00,168.0,170.0,168.0,170.0,170.0,2040
2021-06-08 15:00:00+02:00,170.0,170.0,170.0,170.0,170.0,200
2021-06-09 09:00:00+02:00,170.0,170.0,170.0,170.0,170.0,0
2021-06-09 11:00:00+02:00,171.0,171.0,171.0,171.0,171.0,211
2021-06-09 16:00:00+02:00,170.0,170.0,170.0,170.0,170.0,1
2021-06-10 10:00:00+02:00,170.0,171.0,170.0,171.0,171.0,1279
2021-06-10 11:00:00+02:00,171.0,171.0,171.0,171.0,171.0,1351
2021-06-10 12:00:00+02:00,172.0,172.0,172.0,172.0,172.0,10
2021-06-10 13:00:00+02:00,172.0,172.0,172.0,172.0,172.0,40
2021-06-11 09:00:00+02:00,172.0,172.0,172.0,172.0,172.0,925
2021-06-11 10:00:00+02:00,172.0,172.0,172.0,172.0,172.0,2
2021-06-14 09:00:00+02:00,172.0,172.0,172.0,172.0,172.0,0
2021-06-14 10:00:00+02:00,172.0,172.0,171.0,171.0,171.0,119
2021-06-14 13:00:00+02:00,171.0,171.0,171.0,171.0,171.0,44
2021-06-15 09:00:00+02:00,171.0,171.0,171.0,171.0,171.0,0
2021-06-15 13:00:00+02:00,171.0,171.0,171.0,171.0,171.0,30
2021-06-16 09:00:00+02:00,171.0,171.0,171.0,171.0,171.0,48
2021-06-16 12:00:00+02:00,171.0,171.0,170.0,170.0,170.0,99
2021-06-16 15:00:00+02:00,170.0,170.0,170.0,170.0,170.0,38
2021-06-17 10:00:00+02:00,171.0,171.0,171.0,171.0,171.0,0
2021-06-17 15:00:00+02:00,171.0,171.0,171.0,171.0,171.0,355
2021-06-18 09:00:00+02:00,174.0,174.0,174.0,174.0,174.0,0
2021-06-18 10:00:00+02:00,171.0,171.0,171.0,171.0,171.0,1000
2021-06-18 16:00:00+02:00,171.0,171.0,171.0,171.0,171.0,4806
2021-06-21 09:00:00+02:00,170.0,170.0,170.0,170.0,170.0,0
2021-06-22 12:00:00+02:00,170.0,170.0,170.0,170.0,170.0,264
2021-06-22 14:00:00+02:00,172.0,172.0,172.0,172.0,172.0,127
2021-06-22 15:00:00+02:00,170.0,170.0,170.0,170.0,170.0,10
2021-06-23 09:00:00+02:00,170.0,173.0,170.0,173.0,173.0,0
2021-06-23 12:00:00+02:00,173.0,173.0,173.0,173.0,173.0,20
2021-06-23 14:00:00+02:00,174.0,174.0,174.0,174.0,174.0,291
2021-06-25 09:00:00+02:00,170.0,174.0,170.0,170.0,170.0,231
2021-06-25 10:00:00+02:00,170.0,170.0,170.0,170.0,170.0,96
2021-06-25 11:00:00+02:00,170.0,174.0,170.0,174.0,174.0,306
2021-06-25 13:00:00+02:00,171.0,171.0,170.0,170.0,170.0,148
2021-06-25 15:00:00+02:00,171.0,174.0,170.0,174.0,174.0,1578
2021-06-28 09:00:00+02:00,171.0,171.0,171.0,171.0,171.0,0
2021-06-28 10:00:00+02:00,172.0,172.0,172.0,172.0,172.0,110
2021-06-28 12:00:00+02:00,172.0,172.0,171.0,171.0,171.0,1000
2021-06-28 16:00:00+02:00,174.0,174.0,174.0,174.0,174.0,620
2021-06-29 11:00:00+02:00,174.0,174.0,174.0,174.0,174.0,0
2021-06-30 09:00:00+02:00,174.0,174.0,174.0,174.0,174.0,25
2021-06-30 10:00:00+02:00,174.0,174.0,173.0,173.0,173.0,2507
2021-06-30 11:00:00+02:00,173.0,173.0,173.0,173.0,173.0,100
2021-06-30 13:00:00+02:00,173.0,174.0,173.0,174.0,174.0,1288
2021-06-30 14:00:00+02:00,174.0,174.0,174.0,174.0,174.0,46
2021-06-30 15:00:00+02:00,175.0,176.0,175.0,176.0,176.0,0
2021-07-01 10:00:00+02:00,174.0,174.0,171.0,171.0,171.0,480
2021-07-01 12:00:00+02:00,174.0,174.0,174.0,174.0,174.0,295
2021-07-02 09:00:00+02:00,174.0,174.0,171.0,171.0,171.0,62
2021-07-07 12:00:00+02:00,171.0,171.0,171.0,171.0,171.0,0
2021-07-08 16:00:00+02:00,171.0,171.0,171.0,171.0,171.0,40
2021-07-09 09:00:00+02:00,171.0,171.0,170.0,170.0,170.0,755
2021-07-09 11:00:00+02:00,170.0,170.0,170.0,170.0,170.0,210
2021-07-09 12:00:00+02:00,174.0,174.0,174.0,174.0,174.0,586
2021-07-12 10:00:00+02:00,174.0,175.0,174.0,175.0,175.0,0
2021-07-12 12:00:00+02:00,174.0,175.0,174.0,175.0,175.0,568
2021-07-12 14:00:00+02:00,175.0,175.0,175.0,175.0,175.0,30
2021-07-12 16:00:00+02:00,174.0,174.0,170.0,170.0,170.0,500
2021-07-13 09:00:00+02:00,174.0,174.0,174.0,174.0,174.0,0
2021-07-13 13:00:00+02:00,174.0,175.0,174.0,175.0,175.0,303
2021-07-13 16:00:00+02:00,175.0,175.0,175.0,175.0,175.0,210
2021-07-14 10:00:00+02:00,175.0,175.0,175.0,175.0,175.0,0
2021-07-14 12:00:00+02:00,175.0,175.0,175.0,175.0,175.0,551
2021-07-14 15:00:00+02:00,172.0,175.0,171.0,175.0,175.0,0
2021-07-15 16:00:00+02:00,172.0,172.0,172.0,172.0,172.0,30
2021-07-16 16:00:00+02:00,174.0,174.0,174.0,174.0,174.0,0
2021-07-19 16:00:00+02:00,173.0,173.0,173.0,173.0,173.0,44
2021-07-20 13:00:00+02:00,174.0,174.0,174.0,174.0,174.0,0
2021-07-20 14:00:00+02:00,175.0,175.0,175.0,175.0,175.0,237
2021-07-21 11:00:00+02:00,174.0,175.0,174.0,175.0,175.0,237
2021-07-21 13:00:00+02:00,171.0,175.0,171.0,175.0,175.0,305
2021-07-22 13:00:00+02:00,171.0,171.0,171.0,171.0,171.0,0
2021-07-22 14:00:00+02:00,171.0,171.0,171.0,171.0,171.0,10
2021-07-23 14:00:00+02:00,172.0,172.0,172.0,172.0,172.0,0
2021-07-26 09:00:00+02:00,172.0,172.0,171.0,172.0,172.0,30
2021-07-26 11:00:00+02:00,172.0,174.0,172.0,174.0,174.0,790
2021-07-26 12:00:00+02:00,175.0,175.0,175.0,175.0,175.0,30
2021-07-27 11:00:00+02:00,171.0,171.0,171.0,171.0,171.0,0
2021-07-27 13:00:00+02:00,175.0,175.0,175.0,175.0,175.0,1
2021-07-28 12:00:00+02:00,175.0,175.0,175.0,175.0,175.0,0
2021-07-28 14:00:00+02:00,175.0,175.0,175.0,175.0,175.0,768
2021-07-28 16:00:00+02:00,175.0,175.0,175.0,175.0,175.0,22
2021-07-29 10:00:00+02:00,171.0,175.0,171.0,175.0,175.0,825
2021-07-29 12:00:00+02:00,175.0,175.0,171.0,171.0,171.0,595
2021-07-29 14:00:00+02:00,175.0,176.0,175.0,176.0,176.0,410
2021-07-30 11:00:00+02:00,176.0,176.0,176.0,176.0,176.0,0
2021-07-30 14:00:00+02:00,176.0,176.0,176.0,176.0,176.0,429
2021-08-02 09:00:00+02:00,176.0,176.0,176.0,176.0,176.0,0
2021-08-02 12:00:00+02:00,173.0,173.0,173.0,173.0,173.0,587
2021-08-03 10:00:00+02:00,174.0,174.0,174.0,174.0,174.0,0
2021-08-03 15:00:00+02:00,175.0,175.0,175.0,175.0,175.0,10
